ID_UC;Código UC;Informações Gerais;Nome da UC;Esfera Administrativa;Categoria de Manejo;Categoria IUCN;UF;Ano de Criação;Ano do ato legal mais recente;Ato Legal de Criação;Outros atos legais;Municípios Abrangidos;Plano de Manejo;Conselho Gestor;Órgão Gestor;Fonte da Área: (1 = SHP, 0 = Ato legal);Área soma biomas;Área soma Biomas Continental;Área Ato Legal de Criação;Bioma Área (ha);Amazônia;Caatinga;Cerrado;Mata Atlântica;Pampa;Pantanal;Área Marinha;Bioma declarado;% Além da linha de costa;Grupo;PI;US;Recortes (ha);Mar Territorial;Município Costeiro;Município Costeiro + Área Marinha;Programa/Projeto;Sítios do Patrimônio Mundial;Sítios Ramsar;Mosaico;WDPAID
1704;0000.35.1704;;APA JUNDIAÍ;Estadual;Área de Proteção Ambiental;Category V;SP;1984;1984;Lei ordinária 4095 de 01/06/1984;Sem informação.;CAMPO LIMPO PAULISTA (SP) - ITUPEVA (SP) - JARINU (SP) - JUNDIAÍ (SP);Não;Sim;FUNDAÇÃO PARA CONSERVAÇÃO E A PRODUÇÃO FLORESTAL DO ESTADO DE SÃO PAULO - SP;1;50.104;50.104;0;;0;0;0;50.104;0;0;0;Mata Atlântica;0;Uso Sustentável;0;1;;0;0;0;;;;;555576452
1708;0000.35.1708;;APA PIRACICABA JUQUERÍ-MIRIM AREA II;Estadual;Área de Proteção Ambiental;Category V;SP;1991;1991;Lei ordinária 7438 de 16/07/1991;Sem informação.;AMPARO (SP) - ANALÂNDIA (SP) - BRAGANÇA PAULISTA (SP) - CAMPINAS (SP) - CHARQUEADA (SP) - CORUMBATAÍ (SP) - HOLAMBRA (SP) - IPEÚNA (SP) - ITIRAPINA (SP) - JAGUARIÚNA (SP) - JOANÓPOLIS (SP) - MAIRIPORÃ (SP) - MONTE ALEGRE DO SUL (SP) - MORUNGABA (SP) - NAZARÉ PAULISTA (SP) - PEDRA BELA (SP) - PEDREIRA (SP) - PINHALZINHO (SP) - PIRACAIA (SP) - RIO CLARO (SP) - SANTO ANTÔNIO DE POSSE (SP) - SERRA NEGRA (SP) - SOCORRO (SP) - TUIUTI (SP) - VARGEM (SP);Não;Não;FUNDAÇÃO PARA CONSERVAÇÃO E A PRODUÇÃO FLORESTAL DO ESTADO DE SÃO PAULO - SP;1;280.815;280.815;0;;0;0;0;280.815;0;0;0;Mata Atlântica;0;Uso Sustentável;0;1;;0;0;0;;;;;555576306
1709;0000.35.1709;;APA PLANALTO DO TURVO;Estadual;Área de Proteção Ambiental;Category V;SP;2008;2008;Lei ordinária 12810 de 21/02/2008;Sem informação.;BARRA DO TURVO (SP) - CAJATI (SP);Não;Sim;FUNDAÇÃO PARA CONSERVAÇÃO E A PRODUÇÃO FLORESTAL DO ESTADO DE SÃO PAULO - SP;1;2.719;2.719;2721,87;;0;0;0;2.719;0;0;0;Mata Atlântica;0;Uso Sustentável;0;1;;0;0;0;;;;;555576269
1713;0000.35.1713;;APA RIO PARDINHO E RIO VERMELHO;Estadual;Área de Proteção Ambiental;Category V;SP;2008;2008;Lei ordinária 12810 de 21/02/2008;Sem informação.;BARRA DO TURVO (SP);Não;Sim;FUNDAÇÃO PARA CONSERVAÇÃO E A PRODUÇÃO FLORESTAL DO ESTADO DE SÃO PAULO - SP;1;3.233;3.233;3235,47;;0;0;0;3.233;0;0;0;Mata Atlântica;0;Uso Sustentável;0;1;;0;0;0;;;;;555576189
1714;0000.35.1714;;APA SÃO FRANCISCO XAVIER;Estadual;Área de Proteção Ambiental;Category V;SP;2002;2002;Lei ordinária 11262 de 08/11/2002;Sem informação.;SÃO JOSÉ DOS CAMPOS (SP);Sim;Não;FUNDAÇÃO PARA CONSERVAÇÃO E A PRODUÇÃO FLORESTAL DO ESTADO DE SÃO PAULO - SP;1;11.980;11.980;0;;0;0;0;11.980;0;0;0;Mata Atlântica;0;Uso Sustentável;0;1;;0;0;0;;;;Mantiqueira;555682212
1715;0000.35.1715;;APA SAPUCAÍ MIRIM;Estadual;Área de Proteção Ambiental;Category V;SP;1998;1998;Decreto 43285 de 03/07/1998;Sem informação.;SANTO ANTÔNIO DO PINHAL (SP) - SÃO BENTO DO SAPUCAÍ (SP);Não;Não;FUNDAÇÃO PARA CONSERVAÇÃO E A PRODUÇÃO FLORESTAL DO ESTADO DE SÃO PAULO - SP;1;38.821;38.821;0;;0;0;0;38.821;0;0;0;Mata Atlântica;0;Uso Sustentável;0;1;;0;0;0;;;;Mantiqueira;555576183
1718;0000.35.1718;;APA SISTEMA CANTAREIRA;Estadual;Área de Proteção Ambiental;Category V;SP;1998;1998;Lei ordinária 10111 de 04/12/1998;Sem informação.;ATIBAIA (SP) - BRAGANÇA PAULISTA (SP) - JOANÓPOLIS (SP) - MAIRIPORÃ (SP) - NAZARÉ PAULISTA (SP) - PIRACAIA (SP) - VARGEM (SP);Não;Não;FUNDAÇÃO PARA CONSERVAÇÃO E A PRODUÇÃO FLORESTAL DO ESTADO DE SÃO PAULO - SP;1;254.094;254.094;0;;0;0;0;254.094;0;0;0;Mata Atlântica;0;Uso Sustentável;0;1;;0;0;0;;;;;555576203
1973;0000.35.1973;;APA CORUMBATAÍ BOTUCATU TEJUPÁ PERIMETRO TEJUPÁ;Estadual;Área de Proteção Ambiental;Category V;SP;1983;1983;Decreto 20960 de 08/06/1983;Sem informação.;FARTURA (SP) - PIRAJU (SP) - SARUTAIÁ (SP) - TAGUAÍ (SP) - TEJUPÁ (SP) - TIMBURI (SP);Não;Não;FUNDAÇÃO PARA CONSERVAÇÃO E A PRODUÇÃO FLORESTAL DO ESTADO DE SÃO PAULO - SP;1;142.547;142.547;0;;0;0;0;142.547;0;0;0;Mata Atlântica;0;Uso Sustentável;0;1;;0;0;0;;;;;555576378
2020;0000.35.2020;;RESERVA PARTICULAR DO PATRIMÔNIO NATURAL SÃO JUDAS TADEU;Estadual;Reserva Particular do Patrimônio Natural;Category IV;SP;2008;2008;Resolução 65 de 11/09/2008;Sem informação.;JUQUITIBA (SP);Não;Não;FUNDAÇÃO PARA CONSERVAÇÃO E A PRODUÇÃO FLORESTAL DO ESTADO DE SÃO PAULO - SP;1;6;6;6,05;;0;0;0;6;0;0;0;Mata Atlântica;0;Uso Sustentável;0;1;;0;0;0;;;;;555682459
2559;0000.35.2559;;PARQUE ESTADUAL ALBERTO LÖFGREN;Estadual;Parque;Category II;SP;1968;1968;Lei ordinária Lei 10228 de 24/09/1968;Sem informação.;SÃO PAULO (SP);Sim;Sim;COORDENADORIA DE PARQUES E PARCERIAS DA SECRETARIA DE INFRAESTRUTURA E MEIO AMBIENTE DE SÃO PAULO - SP;1;177;177;187;;0;0;0;177;0;0;0;Mata Atlântica;0;Proteção Integral;1;0;;0;0;0;;;;;351993
